time,ret,type
49672-07-21,-0.2126567111618698,worst
49675-04-17,0.14861916008344167,best
49899-10-20,0.14680225025331062,best
49902-07-17,0.20295221522828122,best
49943-08-11,-0.15060228417488197,worst
49954-07-24,0.135612810748734,best
49965-07-06,-0.1448439630656395,worst
50012-01-21,-0.21688030836860683,worst
50066-10-24,-0.1649796637633152,worst
51219-06-22,0.15868403825725075,best
51783-06-25,0.1549838768309879,best
52164-01-19,-0.5026069427414583,worst
52166-10-15,0.15032193094234536,best
52183-03-20,0.13335221046196466,best
53075-10-10,0.17844855970428242,best
53349-07-25,-0.15519381949293098,worst
54129-11-13,0.13527871467525188,best
54417-05-07,-0.16699764123151084,worst
54825-04-18,-0.1525677793793303,worst
58066-12-23,-0.1510256005239139,worst
